type,latitude,longitude,alt,name,color
T,-32.663177,-69.116813,2976.4,,blue
T,-32.663099,-69.116815,2977.6,,blue
T,-32.663024,-69.11681,2979,,blue
T,-32.662953,-69.116789,2980.3,,blue
T,-32.662899,-69.116783,2980.3,,blue
T,-32.662773,-69.116776,2980.3,,blue
T,-32.662778,-69.11674,2980.7,,blue
T,-32.662876,-69.116708,2980.7,,blue
T,-32.66286,-69.11659,2980.9,,blue
T,-32.662839,-69.116558,2981,,blue
T,-32.662876,-69.116508,2981.1,,blue
T,-32.662939,-69.116507,2981.6,,blue
T,-32.66296,-69.116544,2982.5,,blue
T,-32.662976,-69.116659,2982.4,,blue
T,-32.662919,-69.116723,2981.3,,blue
T,-32.662883,-69.116777,2980.8,,blue
T,-32.66286,-69.116778,2980.3,,blue
T,-32.662818,-69.116778,2980.4,,blue
T,-32.662821,-69.116775,2980.4,,blue
T,-32.662755,-69.116757,2979.6000000000004,,blue
T,-32.662732,-69.11673,2979,,blue
T,-32.662708,-69.116723,2978.3,,blue
T,-32.662684,-69.116712,2977.7,,blue
T,-32.662647,-69.116687,2976.7,,blue
type,latitude,longitude,alt,name,color
T,-32.662574,-69.116674,2975.4,,black
T,-32.662525,-69.11667,2974.3,,black
T,-32.66247,-69.116673,2973,,black
T,-32.662385,-69.116689,2971.6,,black
T,-32.662322,-69.116697,2970.5,,black
T,-32.662259,-69.116695,2969.4,,black
T,-32.662182,-69.116689,2968.3,,black
T,-32.662111,-69.116686,2967.1000000000004,,black
T,-32.662021,-69.116669,2965.7,,black
T,-32.661821,-69.11665,2964.4,,black
T,-32.661723,-69.116627,2963.2,,black
T,-32.661653,-69.116593,2962,,black
T,-32.661557,-69.116536,2960.9,,black
T,-32.661437,-69.116453,2959.7,,black
T,-32.661277,-69.116404,2958.4,,black
T,-32.66119,-69.116369,2957.3,,black
T,-32.661118,-69.116345,2956.4,,black
T,-32.661066,-69.116334,2955.9,,black
T,-32.661041,-69.11625,2955.2,,black
T,-32.660914,-69.116127,2954.1,,black
T,-32.660677,-69.116086,2952.8999999999996,,black
T,-32.660588,-69.116053,2951.3,,black
T,-32.660481,-69.116037,2949.9,,black
T,-32.660313,-69.116024,2948.7,,black
T,-32.660191,-69.115982,2947.5,,black
T,-32.66008,-69.115905,2946.3,,black
T,-32.659912,-69.115851,2944.8999999999996,,black
T,-32.6598,-69.115835,2943.8,,black
T,-32.65975,-69.115806,2943.3,,black
T,-32.65966,-69.115739,2942.3999999999996,,black
T,-32.65947,-69.115713,2941.2,,black
T,-32.659378,-69.115704,2940.7,,black
T,-32.659335,-69.115649,2941.2,,black
T,-32.659138,-69.115623,2942.4,,black
T,-32.659086,-69.115547,2942.4,,black
T,-32.658981,-69.115494,2941.1000000000004,,black
T,-32.658926,-69.115462,2939.8,,black
T,-32.658885,-69.11544,2938.6,,black
T,-32.658839,-69.115421,2937.4,,black
T,-32.658789,-69.115403,2936.1000000000004,,black
T,-32.658737,-69.115388,2934.8,,black
T,-32.658685,-69.115373,2933.5,,black
T,-32.658628,-69.115357,2932.1000000000004,,black
T,-32.658569,-69.115335,2930.3,,black
T,-32.658502,-69.115304,2928.5,,black
T,-32.658434,-69.115265,2926.9,,black
T,-32.658343,-69.115213,2925,,black
T,-32.658246,-69.115188,2923.5,,black
